title,runtime,expected_demand,movie_id
The Smashing Machine,93.0,774279.9123764719,1
The Mastermind,110.0,572942.1269943524,2
Re-Election,84.0,272717.54535134125,3
Stitch Head,92.0,272167.6442504983,4
Regretting You,116.0,264667.15115141816,5
Soul on Fire,111.0,244637.86491940205,6
Last Days,97.0,215832.35240990616,7
Roofman,126.0,199221.8091864201,8
Black Phone 2,114.0,172462.3316974115,9
Truth & Treason,120.0,171466.64361009235,10
Kiss of the Spider Woman,120.0,159157.8794538879,11
Anniversary,12.0,150700.14964246785,12
Shelby Oaks,91.0,99716.80671769424,13
Good Fortune,73.0,80160.0973807557,14
